"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout"
"Product","/products/first-kalima-tawheed-metal-islamic-wall-art",1189,1371,72,31,9
"Product","/products/mashallah-la-quwwata-illa-bi-llahi-tempered-glass-islamic-wall-art",1177,1348,72,32,10
"Product","/products/al-asmaul-husna-islamic-wall-art-canvas-printing",1083,1233,71,26,3
"Product","/products/wooden-kalima-tawheed-mihrab-wall-art-for-prayer-spaces-allah-muhammad-calligraphy-motif",960,1067,69,13,7
"Product","/products/led-lighted-kufic-calligraphy-islamic-wall-art",1681,1831,69,20,8
"Product","/products/islamic-gift-shiny-metal-crescent-star-islamic-home-decor",1420,1582,69,27,8
"Product","/products/kufic-basmala-surah-al-falaq-an-nas-al-ikhlas-al-kafirun-wooden-islamic-wall-art",707,879,69,38,12
"Product","/products/set-of-4-qul-metal-islamic-wall-art",802,993,68,26,11
"Product","/products/surah-ar-rahman-islamic-wall-art-metal",784,945,66,30,12
"Product","/products/surah-al-ikhlas-metal-clock-islamic-wall-art-gold",845,961,65,32,6
"Product","/products/al-asmaul-husna-colorful-islamic-wall-art-canvas-printing",1290,1373,64,15,1
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-wood",1601,1839,64,19,9
"Product","/products/surah-ar-rahman-metal-islamic-wall-art",1087,1243,64,33,9
"Product","/products/vertical-design-surah-rahman-fabi-ayyi-ala-i-rabbikuma-tukazziban-metal-islamic-wall-art",927,1043,63,21,8
"Product","/products/kun-fa-ya-kun-islamic-wall-art-metal",701,840,62,24,6
"Product","/products/ayatul-kursi-calligraphy-islamic-wall-art-drop",1075,1190,62,22,4
"Product","/products/allah-swt-mohammad-pbuh-wooden-islamic-wall-art-modern-decor",1564,1704,62,29,3
"Product","/products/stone-islamic-table-decor-subhanallah-alhamdulillah-allahuakbar-dhikr",1063,1162,62,22,7
"Product","/products/metal-candle-holder-with-square-masjid-motif-great-for-islamic-home-decor-elegant-ramadan-gifts",628,672,61,16,7
"Product","/products/ayatul-kursi-on-tempered-glass-uv-print-islamic-wall-art-decor-portrait-orientation",927,1014,58,16,5
"Product","/products/islamic-gift-wooden-quran-rehal",1234,1360,57,30,12
"Product","/products/surah-al-fatiha-verse-one-tempered-glass-islamic-wall-art-decor",668,778,56,20,4
"Product","/products/vertical-design-surah-rahman-fabi-ayyi-ala-i-rabbikuma-tukazziban-powder-painted-metal-islamic-wall-art",661,713,56,17,6
"Product","/products/first-kalima-calligraphy-wooden-islamic-wall-art-decor",1459,1566,56,11,6
