"Order name","Product title","Product variant title","Gross sales","Quantity ordered"
"#33972","Surah Ar-Rahman Verse 13 Islamic Artwork, Glass Islamic Decor for Home","XL with Translation / Black Mirror (Gold)",349.28,1
"#34521","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#35849","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#35008","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#35034","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#34589","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#36349","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#34631","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",349,1
"#35781","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",349,1
"#35272","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Gold",349,1
"#33626","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Shiny Silver",349,1
"#33584","Set of Ayatul Kursi, Surah Al Falaq, Surah An Nas Shiny Metal Copper Islamic Wall Art","XLarge",343.79,1
"#33910","Ayatul Kursi - Islamic Wall Art, Shiny Metal | Baqarah Verse 255 in Multicolors","36x46"" | 90x115 cm / Full Shiny Silver",341,1
"#36144","Alhamdulillah, Bismillah, MashAllah Arabic Islamic Tabletop Art Decor","All of Them / Black / 12.8x3.2"" | 32x8 cm",340,10
"#35498","Ayatul Kursi, Surah Falaq&Nas | Metal Islamic Wall Art - Matte Set of 3","XL / In Silver Out Gold / Set of Three",337.65,1
"#33702","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Gold Mihrab / Large",334.9,1
"#36560","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Gold Mihrab / Large",334.77,1
"#35786","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",334.49,1
"#35794","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",334.49,1
"#35316","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Silver",334.45,1
"#35771","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",334.14,1
"#35177","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",334.14,1
"#35177","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",334.14,1
"#34748","Surah Ar-Rahman Verse 13 Islamic Artwork, Glass Islamic Decor for Home","XL with Translation / Black Mirror (Gold)",334.14,1
"#35771","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",334.14,1
"#35015","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Mixed (Text choice)",334,1
"#35355","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",333.92,1
"#34859","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Gold Mihrab / Large",333.89,1
"#37189","Set of Ayatul Kursi, Al Falaq, An Nas | Islamic Wall Art - Shiny Metal","XL: 26.4"" | 67 cm / Shiny Gold",329,1
"#34209","Set of Ayatul Kursi, Al Falaq, An Nas | Islamic Wall Art - Shiny Metal","XL: 26.4"" | 67 cm / Shiny Gold",329,1
"#33934","Set of Ayatul Kursi, Surah Al Falaq, Surah An Nas Shiny Metal Silver Islamic Wall Art","XLarge",329,1
"#34656","Shiny Crescent Moon & Star Metal Islamic Home Decor - Islamic Gift","20.5x17.3"" | 52x44 cm",323.16,2
"#34349","Allah Calligraphy Decor - Islamic Wall Art | Tempered Glass","31.5x13"" | 80×33 cm / Silver / Solid Black",323.1,2
"#37036","Ayatul Kursi Metal Islamic Wall Art with Translation, Transliteration and LED","39.4x24"" | 100x61 cm / With LED Lights",318,2
"#37454","Ayatul Kursi, Surah Falaq&Nas | Metal Islamic Wall Art - Matte Set of 3","XXL / In Gold Out Silver / Set of Two (Felak+Nas)",314.57,1
"#34772","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",314.49,1
"#35652","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",313,1
"#36238","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",313,1
"#33979","Wooden Prayer Rug and Mat Holder and Quran Stand","Gold on Black",312.9,1
"#34656","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Silver",303.69,1
"#34642","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",303.68,1
"#36394","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",303.63,1
"#35495","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / White",303.6,1
"#35495","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Silver",303.6,1
"#34266","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",303.58,1
"#33839","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",303.13,1
"#35009","Ramadan Lantern Metal Islamic Wall Art Home Decor","L-30"" | 77 cm / Gold",302.92,2
"#34826","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",302.66,1
"#35182","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",302.54,1
"#36074","Ramadan Kareem Metal Napkin Ornament Iftar & Eid Table Setting Decor","Gold / 6 Ornaments",302.5,10
"#35673","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",302.35,1
"#34620","Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","40.2x33.9"" | 102x86 cm / Gold",301.93,1
"#35189","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Mihrab + Extras / Gold Mihrab and Gold Extras / Medium",301.18,1
"#34249","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Mixed (Text choice)",300.96,1
"#34796","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Mixed (Text choice)",300.64,1
"#36580","Ayatul Kursi and Salawat Shiny Metal Islamic Wall Art","XL : 27.5"" | 70 cm / Full Shiny Silver",300.64,1
"#36762","Ayatul Kursi and Salawat Shiny Metal Islamic Wall Art","XL : 27.5"" | 70 cm / In Shiny Gold Out Black",300.56,1
"#34315","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Silver",299,1
"#35413","Wooden Mihrab - Islamic Home Masjid Decor | with Allah & Muhammad Decors","Mihrab + Gold Extras / XL",299,1
"#35526","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#35244","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",299,1
"#35285","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#35124","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#35194","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Black",299,1
"#34907","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#36124","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#34507","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",299,1
"#36774","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Gold",299,1
"#35083","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Black Mihrab / Large",299,1
"#35448","Ramadan Lantern Metal Islamic Wall Art Home Decor","Set of Three (S-M-L) / Mixed (Text choice)",299,1
"#35336","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",299,1
"#36721","Surah Ar-Rahman Verse 13 Islamic Artwork, Glass Islamic Decor for Home","XL with Translation / Solid White (Gold)",299,1
"#35023","Rising Crescent Moon & Star Ramadan Decor - Metal Islamic Home Decoration","54x40"" | 137x102 cm / Matte Gold",299,1
"#35814","Metal Mihrab for Prayer Room with Islamic Calligraphy Set","Only Mihrab / Gold Mihrab / Large",299,1
